"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\separator.tsx", "TypeScript JSX", -17, 0, 0, 0, -4, -21
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\sheet.tsx", "TypeScript JSX", -93, 0, 0, 0, -15, -108
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\sidebar.tsx", "TypeScript JSX", -572, 0, 0, -12, -54, -638
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\skeleton.tsx", "TypeScript JSX", -5, 0, 0, 0, -3, -8
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\slider.tsx", "TypeScript JSX", -20, 0, 0, 0, -4, -24
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\sonner.tsx", "TypeScript JSX", -23, 0, 0, 0, -5, -28
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\switch.tsx", "TypeScript JSX", -24, 0, 0, 0, -4, -28
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\table.tsx", "TypeScript JSX", -62, 0, 0, 0, -11, -73
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\tabs.tsx", "TypeScript JSX", -47, 0, 0, 0, -7, -54
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\textarea.tsx", "TypeScript JSX", -17, 0, 0, 0, -5, -22
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\toast.tsx", "TypeScript JSX", -99, 0, 0, 0, -13, -112
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\toaster.tsx", "TypeScript JSX", -22, 0, 0, 0, -3, -25
