"filename", "language", "JSON with Comments", "TypeScript", "JSON", "SQLite", "Markdown", "Dotenv", "JavaScript", "HTML", "PostCSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 6, 30
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\progress.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 4, 24
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\radio-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 5, 37
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\resizable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 6, 38
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 5, 39
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 14, 144
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 4, 21
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 15, 108
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 572, 0, 12, 54, 638
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\slider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 4, 24
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 5, 28
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 4, 28
